,src,dst,tx_x,tx_y,rx_x,rx_y,distance,power,mtoa,pl,txloss
192,1,22,3.93558,40.6139,12.9428,36.1282,10.0623,-27.9753,3.81178e-08,52.2771,52.2771
193,1,23,3.93558,40.6139,12.9499,31.6282,12.7279,-32.4765,4.75945e-08,56.7782,56.7782
194,1,24,3.93558,40.6139,12.9571,27.1283,16.225,-31.8037,6.14661e-08,56.1055,56.1055
195,1,25,3.93558,40.6139,12.9643,22.6283,20.1246,-35.3761,7.58112e-08,59.6779,59.6779
196,1,26,3.93558,40.6139,12.9715,18.1283,24.2332,-36.5515,9.14243e-08,60.8533,60.8533
197,1,27,3.93558,40.6139,12.9787,13.6283,28.4605,-39.7358,1.06325e-07,64.0376,64.0376
198,1,28,3.93558,40.6139,12.9859,9.12828,32.7605,-39.6909,1.21273e-07,63.9926,63.9926
199,1,29,3.93558,40.6139,12.9931,4.62828,37.108,-37.6871,1.35017e-07,61.9889,61.9889
200,1,30,3.93558,40.6139,17.4284,45.1354,14.2303,-32.3622,5.39917e-08,56.664,56.664
201,1,31,3.93558,40.6139,17.4356,40.6354,13.5,-32.0803,5.06691e-08,56.382,56.382
202,1,32,3.93558,40.6139,17.4428,36.1354,14.2303,-31.2019,5.41199e-08,55.5037,55.5037
203,1,33,3.93558,40.6139,17.4499,31.6354,16.225,-30.1015,6.0622e-08,54.4033,54.4033
204,1,34,3.93558,40.6139,17.4571,27.1354,19.0919,-31.0839,7.16172e-08,55.3856,55.3856
205,1,35,3.93558,40.6139,17.4643,22.6354,22.5,-34.4443,8.40171e-08,58.7461,58.7461
206,1,36,3.93558,40.6139,17.4715,18.1355,26.2393,-37.8242,9.80414e-08,62.1259,62.1259
207,1,37,3.93558,40.6139,17.4787,13.6355,30.1869,-42.7324,1.11732e-07,67.0342,67.0342
208,1,38,3.93558,40.6139,17.4859,9.13546,34.271,-42.114,1.25129e-07,66.4158,66.4158
209,1,39,3.93558,40.6139,17.4931,4.63547,38.448,-39.0467,1.38335e-07,63.3484,63.3484
210,1,40,3.93558,40.6139,21.9284,45.1426,18.554,-31.0056,6.88549e-08,55.3073,55.3073
211,1,41,3.93558,40.6139,21.9356,40.6426,18,-33.9235,6.65901e-08,58.2253,58.2253
212,1,42,3.93558,40.6139,21.9427,36.1426,18.554,-33.5434,6.93034e-08,57.8452,57.8452
213,1,43,3.93558,40.6139,21.9499,31.6426,20.1246,-37.8353,7.57601e-08,62.137,62.137
214,1,44,3.93558,40.6139,21.9571,27.1426,22.5,-35.1581,8.65229e-08,59.4598,59.4598
215,1,45,3.93558,40.6139,21.9643,22.6426,25.4558,-36.44,9.49732e-08,60.7418,60.7418
216,1,46,3.93558,40.6139,21.9715,18.1426,28.8141,-52.481,1.04667e-07,76.7828,76.7828
217,1,47,3.93558,40.6139,21.9787,13.6426,32.45,-41.6735,1.18504e-07,65.9753,65.9753
218,1,48,3.93558,40.6139,21.9859,9.14265,36.2802,-37.2011,1.3079e-07,61.5029,61.5029
219,1,49,3.93558,40.6139,21.9931,4.64266,40.2492,-38.0047,1.43264e-07,62.3064,62.3064
220,1,50,3.93558,40.6139,26.4284,45.1498,22.9456,-36.9575,8.71611e-08,61.2593,61.2593
221,1,51,3.93558,40.6139,26.4356,40.6498,22.5,-37.6503,8.43495e-08,61.9521,61.9521
222,1,52,3.93558,40.6139,26.4427,36.1498,22.9456,-38.5594,8.64669e-08,62.8612,62.8612
223,1,53,3.93558,40.6139,26.4499,31.6498,24.2332,-37.4477,9.10658e-08,61.7494,61.7494
224,1,54,3.93558,40.6139,26.4571,27.1498,26.2393,-35.1354,1.00395e-07,59.4372,59.4372
225,1,55,3.93558,40.6139,26.4643,22.6498,28.8141,-33.8751,1.06858e-07,58.1769,58.1769
226,1,56,3.93558,40.6139,26.4715,18.1498,31.8198,-42.4075,1.16587e-07,66.7093,66.7093
227,1,57,3.93558,40.6139,26.4787,13.6498,35.1461,-34.5631,1.26406e-07,58.8648,58.8648
228,1,58,3.93558,40.6139,26.4859,9.14984,38.7105,-33.2146,1.38132e-07,57.5164,57.5164
229,1,59,3.93558,40.6139,26.4931,4.64985,42.4529,-35.0488,1.49753e-07,59.3506,59.3506
230,1,60,3.93558,40.6139,30.9284,45.157,27.3724,-36.5432,1.04221e-07,60.845,60.845
231,1,61,3.93558,40.6139,30.9355,40.657,27,-37.2555,1.02085e-07,61.5572,61.5572
232,1,62,3.93558,40.6139,30.9427,36.157,27.3724,-40.1736,1.02869e-07,64.4754,64.4754
233,1,63,3.93558,40.6139,30.9499,31.657,28.4605,-41.8606,1.08417e-07,66.1623,66.1623
234,1,64,3.93558,40.6139,30.9571,27.157,30.1869,-44.4976,1.14387e-07,68.7993,68.7993
235,1,65,3.93558,40.6139,30.9643,22.657,32.45,-35.6855,1.19124e-07,59.9873,59.9873
236,1,66,3.93558,40.6139,30.9715,18.157,35.1461,-40.2729,1.27912e-07,64.5747,64.5747
237,1,67,3.93558,40.6139,30.9787,13.657,38.1838,-32.8145,1.37174e-07,57.1162,57.1162
238,1,68,3.93558,40.6139,30.9859,9.15703,41.488,-35.3979,1.46776e-07,59.6997,59.6997
239,1,69,3.93558,40.6139,30.9931,4.65703,45,-36.4164,1.5735e-07,60.7182,60.7182
240,1,70,3.93558,40.6139,35.4284,45.1642,31.8198,-40.5502,1.20586e-07,64.852,64.852
241,1,71,3.93558,40.6139,35.4355,40.6642,31.5,-42.8137,1.18609e-07,67.1154,67.1154
242,1,72,3.93558,40.6139,35.4427,36.1642,31.8198,-39.6573,1.19092e-07,63.959,63.959
243,1,73,3.93558,40.6139,35.4499,31.6642,32.7605,-44.5351,1.22724e-07,68.8369,68.8369
244,1,74,3.93558,40.6139,35.4571,27.1642,34.271,-40.0612,1.27693e-07,64.363,64.363
245,1,75,3.93558,40.6139,35.4643,22.6642,36.2802,-44.0128,1.31469e-07,68.3146,68.3146
246,1,76,3.93558,40.6139,35.4715,18.1642,38.7105,-37.5363,1.3929e-07,61.8381,61.8381
247,1,77,3.93558,40.6139,35.4787,13.6642,41.488,-33.5747,1.47678e-07,57.8765,57.8765
248,1,78,3.93558,40.6139,35.4859,9.16422,44.5477,-36.6174,1.5682e-07,60.9192,60.9192
249,1,79,3.93558,40.6139,35.493,4.66422,47.8357,-41.2095,1.66316e-07,65.5113,65.5113
250,1,80,3.93558,40.6139,39.9284,45.1714,36.2802,-44.9154,1.36328e-07,69.2172,69.2172
251,1,81,3.93558,40.6139,39.9355,40.6714,36,-44.6296,1.34772e-07,68.9314,68.9314
252,1,82,3.93558,40.6139,39.9427,36.1714,36.2802,-37.5695,1.34928e-07,61.8712,61.8712
253,1,83,3.93558,40.6139,39.9499,31.6714,37.108,-39.1961,1.35968e-07,63.4979,63.4979
254,1,84,3.93558,40.6139,39.9571,27.1714,38.448,-37.9672,1.39863e-07,62.2689,62.2689
